Molecule ChEMBL ID;Molecule Name;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Value;Standard Units;pChEMBL Value;Potential Duplicate;BAO Label
CHEMBL1862892;;424.59;0;17258;DNDI1462990;CCN(CC)C(=O)N1CCC(NC(c2ccc(OC(C)C)cc2)c2cccnc2)CC1;IC50;7.0;nM;42217;False;organism-based format
CHEMBL1863122;;414.48;0;44412;DNDI1468002;N#Cc1ccc(C(c2cccnc2)N2CCC(NC(=O)c3ccccc3F)CC2)cc1;IC50;44339;nM;23193;False;organism-based format
CHEMBL1862791;;337.39;0;47209;DNDI1388141;CC(C)Oc1ccc(C(O)(c2cccnc2)c2ccccc2F)cc1;IC50;44258;nM;17746;False;organism-based format
CHEMBL1862928;;414.51;0;35827;DNDI1576382;Cc1cc(C(=O)NC2CCN(C(c3ccc(C#N)cc3)c3cccnc3)CC2)nn1C;IC50;260.5;nM;21337;False;organism-based format
CHEMBL1862833;;476.45;0;27851;DNDI1449749;O=C(c1ccc(C(F)(F)F)cc1)N1CCC(NC(c2cnccn2)c2ccc(F)cc2F)CC1;IC50;290.0;nM;19876;False;organism-based format
CHEMBL1862994;;460.53;0;31138;DNDI1462994;Cc1ncsc1C(=O)NC1CCN(C(c2ccc(C(F)(F)F)cc2)c2cccnc2)CC1;IC50;60380.0;nM;44652;False;cell-based format
CHEMBL1863012;;297.75;0;29618;DNDI1264442;OC(c1cncnc1)(c1ccccn1)c1ccccc1Cl;IC50;7330.0;nM;41395;False;organism-based format
CHEMBL1863022;;428.54;0;16862;DNDI1562766;CCn1nc(C)cc1C(=O)NC1CCN(C(c2ccc(C#N)cc2)c2cccnc2)CC1;IC50;504.0;nM;11110;False;organism-based format
CHEMBL1863275;;432.47;0;44652;DNDI1490399;N#Cc1ccc(C(c2cccnc2)N2CCC(NC(=O)c3c(F)cccc3F)CC2)cc1;IC50;100000.0;nM;;False;cell-based format
CHEMBL1863273;;365.89;0;14642;DNDI1338491;CS(=O)(=O)N1CCN(C(c2ccc(Cl)cc2)c2cccnc2)CC1;IC50;110.0;nM;35217;False;organism-based format
CHEMBL1863475;;438.96;0;20546;DNDI1492865;CC(C)OCCCNC(=O)c1cccc(C(O)(c2ccc(Cl)cc2)c2cccnc2)c1;IC50;74840.0;nM;41365;False;cell-based format
