,Smiles,MolLog,TPSA,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumRotatableBonds,CalcNumAmideBonds,NumHeteroatoms,NumValenceElectrons,NumSpiroAtoms,FractionCSP3,FpDensityMorgan1,ExactMolWt,Chi0,Chi1,Ipc,BertzCT,LabuteASA,IC50
0,CCN(CC)C(=O)N1CCC(NC(c2ccc(OC(C)C)cc2)c2cccnc2)CC1,4.474000000000004,57.7,1,6,4,1,8,2,6,168,0,0.52,1.1290322580645162,424.283826392,22.216967702877934,15.011570350697117,9643864.499374337,798.0315211875144,186.15610060809618,7.0
1,N#Cc1ccc(C(c2cccnc2)N2CCC(NC(=O)c3ccccc3F)CC2)cc1,4.076180000000003,69.02000000000001,1,5,4,1,5,1,6,156,0,0.24,1.064516129032258,414.18558957600004,21.631181265251033,15.152198343190413,15083293.493634665,1070.681060806562,180.70827831246527,44339.0
2,CC(C)Oc1ccc(C(O)(c2cccnc2)c2ccccc2F)cc1,4.292100000000003,42.35,1,3,3,1,5,0,4,128,0,0.19047619047619047,0.96,337.1478071,17.863596551749424,12.013892449325281,502037.6997712327,834.0296030382634,146.29832235478708,44258.0
3,Cc1cc(C(=O)NC2CCN(C(c3ccc(C#N)cc3)c3cccnc3)CC2)nn1C,2.979000000000001,86.84,1,7,6,1,5,1,7,158,0,0.3333333333333333,1.1935483870967742,414.21680945200006,21.794317972067564,15.046045193307766,15254842.340392686,1056.0073554414887,181.87986059529314,260.5
4,O=C(c1ccc(C(F)(F)F)cc1)N1CCC(NC(c2cnccn2)c2ccc(F)cc2F)CC1,4.757400000000004,58.120000000000005,1,5,4,1,5,1,10,178,0,0.2916666666666667,1.0294117647058822,476.16355239200004,24.294317972067564,16.219365256252168,40031487.694166794,1130.3502959677248,192.197488223648,290.0
5,Cc1ncsc1C(=O)NC1CCN(C(c2ccc(C(F)(F)F)cc2)c2cccnc2)CC1,4.8491200000000045,58.120000000000005,1,5,5,1,5,1,9,168,0,0.34782608695652173,1.15625,460.154467016,22.716967702877934,15.325518406134815,20106561.764630403,1045.108388202566,187.87172280260364,60380.0
6,OC(c1cncnc1)(c1ccccn1)c1ccccc1Cl,2.8092000000000006,58.900000000000006,1,4,4,1,3,0,5,104,0,0.0625,0.9523809523809523,297.066889684,14.708896013370174,10.226198749090576,93632.53604360083,695.2755014816248,126.66697756793883,7330.0
7,CCn1nc(C)cc1C(=O)NC1CCN(C(c2ccc(C#N)cc2)c2cccnc2)CC1,3.4619000000000018,86.84,1,7,6,1,6,1,7,164,0,0.36,1.21875,428.23245951600006,22.501424753254106,15.58404999576855,26126831.128550064,1091.7108565715475,188.24480270968974,504.0
8,N#Cc1ccc(C(c2cccnc2)N2CCC(NC(=O)c3c(F)cccc3F)CC2)cc1,4.215280000000003,69.02000000000001,1,5,4,1,5,1,7,162,0,0.24,1.03125,432.176167764,22.50142475325411,15.562881945713373,21478082.51024047,1100.6788951125898,184.87381371539146,100000.0
9,CS(=O)(=O)N1CCN(C(c2ccc(Cl)cc2)c2cccnc2)CC1,2.4016,53.510000000000005,0,5,4,0,4,0,7,128,0,0.35294117647058826,1.0416666666666667,365.09647556,17.156489770562878,11.448508308423069,283989.3213326577,773.2427707808026,147.47567629906143,110.0
